case_id;start_time;end_time;start_date_month;end_date_month;first_activity;last_activity;path_id;first_activity_grouped;last_activity_grouped;path_id_grouped;duration_seconds;duration_days;count_events;count_activities;count_events_grouped;count_activities_grouped;count_loops;count_self_loops;has_loops_or_self_loops;cost_total;automation_rate;unique_variant;unique_variant_text;unique_variant_grouped;unique_variant_text_grouped;case_po_number;case_po_item
11-2;2023-01-30T11:06:15.000Z;2023-02-10T13:31:16.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;959101;11.1;3;3;2;3;0;0;0;0;0.000;0;No;0;No;11;2
11-3;2023-01-30T11:06:15.000Z;2023-02-10T13:31:16.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;959101;11.1;3;3;2;3;0;0;0;0;0.000;0;No;0;No;11;3
11-4;2023-01-30T11:06:15.000Z;2023-02-10T13:31:16.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;959101;11.1;3;3;2;3;0;0;0;0;0.000;0;No;0;No;11;4
11-5;2023-01-30T11:06:15.000Z;2023-02-10T13:31:16.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;959101;11.1;3;3;2;3;0;0;0;0;0.000;0;No;0;No;11;5
12-1;2023-01-31T13:55:44.000Z;2023-02-04T13:55:44.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Material;11;Lege Bestellposition an;Ändere Bestellposition;3;345600;4;3;3;2;3;0;0;0;0;0.000;0;No;0;No;12;1
12-2;2023-01-31T13:55:44.000Z;2023-02-01T14:07:51.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;87127;1;2;2;1;2;0;0;0;0;0.000;0;No;0;No;12;2
12-3;2023-01-31T13:55:44.000Z;2023-02-01T14:07:51.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;87127;1;2;2;1;2;0;0;0;0;0.000;0;No;0;No;12;3
12-4;2023-01-31T13:55:44.000Z;2023-02-01T14:07:51.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;37;Lege Bestellposition an;Lehne Genehmigung ab;14;87127;1;3;3;2;3;0;0;0;0;0.000;0;No;0;No;12;4
12-5;2023-01-31T13:55:44.000Z;2023-02-03T13:55:44.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Material;11;Lege Bestellposition an;Ändere Bestellposition;3;259200;3;3;3;2;3;0;0;0;0;0.000;0;No;0;No;12;5
13-1;2023-02-02T08:42:50.000Z;2023-02-05T08:42:50.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Preis;12;Lege Bestellposition an;Ändere Bestellposition;3;259200;3;3;3;2;3;0;0;0;0;0.000;0;No;0;No;13;1
13-2;2023-02-02T08:42:50.000Z;2023-02-03T08:09:40.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;84410;0.97;2;2;1;2;0;0;0;0;0.000;0;No;0;No;13;2
13-3;2023-02-02T08:42:50.000Z;2023-02-03T08:09:40.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;84410;0.97;2;2;1;2;0;0;0;0;0.000;0;No;0;No;13;3
13-4;2023-02-02T08:42:50.000Z;2023-02-03T08:09:40.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;84410;0.97;2;2;1;2;0;0;0;0;0.000;0;No;0;No;13;4
14-1;2023-02-06T10:57:43.000Z;2023-02-20T11:51:54.000Z;2/1/2023;2/1/2023;Erteile Genehmigung;Erfasse Rechnung;24;Erteile Genehmigung;Erfasse Rechnung;26;1212851;14.03;3;3;2;3;0;0;0;0;0.000;0;No;0;No;14;1
14-2;2023-02-06T10:57:43.000Z;2023-02-20T11:51:54.000Z;2/1/2023;2/1/2023;Erteile Genehmigung;Erfasse Rechnung;24;Erteile Genehmigung;Erfasse Rechnung;26;1212851;14.03;3;3;2;3;0;0;0;0;0.000;0;No;0;No;14;2
14-3;2023-02-06T10:57:43.000Z;2023-02-20T11:51:54.000Z;2/1/2023;2/1/2023;Erteile Genehmigung;Erfasse Rechnung;24;Erteile Genehmigung;Erfasse Rechnung;26;1212851;14.03;3;3;2;3;0;0;0;0;0.000;0;No;0;No;14;3
15-1;2023-02-09T13:56:41.000Z;2023-02-20T15:12:55.000Z;2/1/2023;2/1/2023;Erteile Genehmigung;Gleiche Rechnung aus;62;Erteile Genehmigung;Gleiche Rechnung aus;48;954974;11.05;4;4;3;4;0;0;0;0;0.000;0;No;0;No;15;1
15-2;2023-02-09T13:56:41.000Z;2023-02-20T15:12:55.000Z;2/1/2023;2/1/2023;Erteile Genehmigung;Gleiche Rechnung aus;62;Erteile Genehmigung;Gleiche Rechnung aus;48;954974;11.05;4;4;3;4;0;0;0;0;0.000;0;No;0;No;15;2
16-1;2023-02-10T09:00:00.000Z;2023-02-21T11:47:58.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;960478;11.11;3;3;2;3;0;0;0;0;0.000;0;No;0;No;16;1
16-2;2023-02-10T09:00:00.000Z;2023-02-21T11:47:58.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;960478;11.11;3;3;2;3;0;0;0;0;0.000;0;No;0;No;16;2
16-3;2023-02-10T09:00:00.000Z;2023-02-21T11:47:58.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;960478;11.11;3;3;2;3;0;0;0;0;0.000;0;No;0;No;16;3
17-1;2023-02-13T15:16:15.000Z;2023-02-15T15:00:26.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;171851;1.98;2;2;1;2;0;0;0;0;0.000;0;No;0;No;17;1
17-2;2023-02-13T15:16:15.000Z;2023-02-15T15:00:26.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;171851;1.98;2;2;1;2;0;0;0;0;0.000;0;No;0;No;17;2
17-3;2023-02-13T15:16:15.000Z;2023-02-15T15:00:26.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;171851;1.98;2;2;1;2;0;0;0;0;0.000;0;No;0;No;17;3
18-1;2023-02-14T12:18:49.000Z;2023-02-14T15:25:29.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;11200;0.12;2;2;1;2;0;0;0;0;0.000;0;No;0;No;18;1
18-2;2023-02-14T12:18:49.000Z;2023-02-14T15:25:29.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;11200;0.12;2;2;1;2;0;0;0;0;0.000;0;No;0;No;18;2
18-3;2023-02-14T12:18:49.000Z;2023-02-17T12:18:49.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Preis;14;Lege Bestellposition an;Ändere Bestellposition;4;259200;3;3;3;2;3;0;0;0;0;0.000;0;No;0;No;18;3
18-4;2023-02-14T12:18:49.000Z;2023-02-14T15:25:29.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;11200;0.12;2;2;1;2;0;0;0;0;0.000;0;No;0;No;18;4
18-5;2023-02-14T12:18:49.000Z;2023-02-14T15:25:29.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;11200;0.12;2;2;1;2;0;0;0;0;0.000;0;No;0;No;18;5
19-1;2023-02-15T08:13:39.000Z;2023-02-27T14:19:08.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1058729;12.25;3;3;2;3;0;0;0;0;0.000;0;No;0;No;19;1
19-2;2023-02-15T08:13:39.000Z;2023-02-27T14:19:08.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;49;Lege Bestellposition an;Erfasse Rechnung;20;1058729;12.25;4;4;3;4;0;0;0;0;0.000;0;No;0;No;19;2
20-1;2023-02-17T14:05:20.000Z;2023-02-20T15:29:05.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;264225;3.05;2;2;1;2;0;0;0;0;0.000;0;No;0;No;20;1
20-2;2023-02-17T14:05:20.000Z;2023-02-20T15:29:05.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;264225;3.05;2;2;1;2;0;0;0;0;0.000;0;No;0;No;20;2
20-3;2023-02-17T14:05:20.000Z;2023-02-20T15:29:05.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;264225;3.05;2;2;1;2;0;0;0;0;0.000;0;No;0;No;20;3
21-1;2023-02-20T08:00:25.000Z;2023-02-21T09:51:47.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;93082;1.07;2;2;1;2;0;0;0;0;0.000;0;No;0;No;21;1
21-2;2023-02-20T08:00:25.000Z;2023-02-21T09:51:47.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;93082;1.07;2;2;1;2;0;0;0;0;0.000;0;No;0;No;21;2
21-3;2023-02-20T08:00:25.000Z;2023-02-21T09:51:47.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;93082;1.07;2;2;1;2;0;0;0;0;0.000;0;No;0;No;21;3
21-4;2023-02-20T08:00:25.000Z;2023-02-21T09:51:47.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;93082;1.07;2;2;1;2;0;0;0;0;0.000;0;No;0;No;21;4
22-1;2023-02-21T10:20:36.000Z;2023-02-26T10:20:36.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Material;16;Lege Bestellposition an;Ändere Bestellposition;4;432000;5;3;3;2;3;0;0;0;0;0.000;0;No;0;No;22;1
22-2;2023-02-21T10:20:36.000Z;2023-02-21T15:04:13.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;17017;0.19;2;2;1;2;0;0;0;0;0.000;0;No;0;No;22;2
22-3;2023-02-21T10:20:36.000Z;2023-02-26T10:20:36.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Preis;14;Lege Bestellposition an;Ändere Bestellposition;4;432000;5;3;3;2;3;0;0;0;0;0.000;0;No;0;No;22;3
22-4;2023-02-21T10:20:36.000Z;2023-02-21T15:04:13.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;17017;0.19;2;2;1;2;0;0;0;0;0.000;0;No;0;No;22;4
22-5;2023-02-21T10:20:36.000Z;2023-02-24T10:20:36.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Preis;14;Lege Bestellposition an;Ändere Bestellposition;4;259200;3;3;3;2;3;0;0;0;0;0.000;0;No;0;No;22;5
23-1;2023-02-22T15:21:32.000Z;2023-03-03T15:51:47.000Z;2/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;50;Lege Bestellposition an;Erfasse Rechnung;39;779415;9.02;4;4;3;4;0;0;0;0;0.000;0;No;0;No;23;1
23-2;2023-02-22T15:21:32.000Z;2023-03-03T15:51:47.000Z;2/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;81;Lege Bestellposition an;Erfasse Rechnung;32;779415;9.02;5;5;4;5;0;0;0;0;0.000;0;No;0;No;23;2
23-3;2023-02-22T15:21:32.000Z;2023-03-03T15:51:47.000Z;2/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;63;Lege Bestellposition an;Erfasse Rechnung;16;779415;9.02;5;5;4;5;0;0;0;0;0.000;0;No;0;No;23;3
24-1;2023-02-23T09:50:59.000Z;2023-02-24T09:50:59.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Menge;8;Lege Bestellposition an;Ändere Bestellposition;3;86400;1;3;3;2;3;0;0;0;0;0.000;0;No;0;No;24;1
24-2;2023-02-23T09:50:59.000Z;2023-02-25T09:50:59.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Ändere Bestellposition: Preis;12;Lege Bestellposition an;Ändere Bestellposition;3;172800;2;3;3;2;3;0;0;0;0;0.000;0;No;0;No;24;2
24-3;2023-02-23T09:50:59.000Z;2023-02-23T15:56:39.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;21940;0.25;2;2;1;2;0;0;0;0;0.000;0;No;0;No;24;3
25-1;2023-02-27T10:44:08.000Z;2023-02-27T12:17:16.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;5588;0.06;2;2;1;2;0;0;0;0;0.000;0;No;0;No;25;1
25-2;2023-02-27T10:44:08.000Z;2023-03-01T10:44:08.000Z;2/1/2023;3/1/2023;Lege Bestellposition an;Ändere Bestellposition: Preis;14;Lege Bestellposition an;Ändere Bestellposition;4;172800;2;3;3;2;3;0;0;0;0;0.000;0;No;0;No;25;2
25-3;2023-02-27T10:44:08.000Z;2023-03-04T10:44:08.000Z;2/1/2023;3/1/2023;Lege Bestellposition an;Ändere Bestellposition: Material;16;Lege Bestellposition an;Ändere Bestellposition;4;432000;5;3;3;2;3;0;0;0;0;0.000;0;No;0;No;25;3
25-4;2023-02-27T10:44:08.000Z;2023-02-27T12:17:16.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;5588;0.06;2;2;1;2;0;0;0;0;0.000;0;No;0;No;25;4
25-5;2023-02-27T10:44:08.000Z;2023-02-27T12:17:16.000Z;2/1/2023;2/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;5588;0.06;2;2;1;2;0;0;0;0;0.000;0;No;0;No;25;5
26-1;2023-03-02T13:44:20.000Z;2023-03-06T15:08:24.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;350644;4.05;2;2;1;2;0;0;0;0;0.000;0;No;0;No;26;1
27-1;2023-03-03T11:04:41.000Z;2023-03-08T11:04:41.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Ändere Bestellposition: Material;11;Lege Bestellposition an;Ändere Bestellposition;3;432000;5;3;3;2;3;0;0;0;0;0.000;0;No;0;No;27;1
27-2;2023-03-03T11:04:41.000Z;2023-03-07T10:07:44.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;342183;3.96;2;2;1;2;0;0;0;0;0.000;0;No;0;No;27;2
27-3;2023-03-03T11:04:41.000Z;2023-03-07T10:07:44.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;342183;3.96;2;2;1;2;0;0;0;0;0.000;0;No;0;No;27;3
27-4;2023-03-03T11:04:41.000Z;2023-03-07T10:07:44.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Lehne Genehmigung ab;0;Lege Bestellposition an;Lehne Genehmigung ab;0;342183;3.96;2;2;1;2;0;0;0;0;0.000;0;No;0;No;27;4
27-5;2023-03-03T11:04:41.000Z;2023-03-08T11:04:41.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Ändere Bestellposition: Material;11;Lege Bestellposition an;Ändere Bestellposition;3;432000;5;3;3;2;3;0;0;0;0;0.000;0;No;0;No;27;5
28-1;2023-03-06T10:29:46.000Z;2023-03-15T09:23:27.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;30;Lege Bestellposition an;Erfasse Rechnung;18;773621;8.95;4;4;3;4;0;0;0;0;0.000;0;No;0;No;28;1
28-2;2023-03-06T10:29:46.000Z;2023-03-15T09:23:27.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;3;Lege Bestellposition an;Erfasse Rechnung;6;773621;8.95;3;3;2;3;0;0;0;0;0.000;0;No;0;No;28;2
29-1;2023-03-08T15:02:58.000Z;2023-03-20T10:54:50.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;71;Lege Bestellposition an;Erfasse Rechnung;37;1021912;11.82;4;4;3;4;0;0;0;0;0.000;0;No;0;No;29;1
29-2;2023-03-08T15:02:58.000Z;2023-03-20T10:54:50.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1021912;11.82;3;3;2;3;0;0;0;0;0.000;0;No;0;No;29;2
29-3;2023-03-08T15:02:58.000Z;2023-03-20T10:54:50.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1021912;11.82;3;3;2;3;0;0;0;0;0.000;0;No;0;No;29;3
29-4;2023-03-08T15:02:58.000Z;2023-03-20T10:54:50.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1021912;11.82;3;3;2;3;0;0;0;0;0.000;0;No;0;No;29;4
29-5;2023-03-08T15:02:58.000Z;2023-03-20T10:54:50.000Z;3/1/2023;3/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1021912;11.82;3;3;2;3;0;0;0;0;0.000;0;No;0;No;29;5
