filter;path_id
Lege Bestellposition an;164
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;164
Fordere Genehmigung Level 1 an;164
Erteile Genehmigung Level 2->Ändere Bestellposition: Menge;164
Erteile Genehmigung Level 2;164
Ändere Bestellposition: Menge->End;164
Ändere Bestellposition: Menge;164
Start->Lege Bestellposition an;34
Lege Bestellposition an->Fordere Genehmigung Level 1 an;34
Lege Bestellposition an;34
Fordere Genehmigung Level 1 an->Lehne Genehmigung Level 2 ab;34
Fordere Genehmigung Level 1 an;34
Lehne Genehmigung Level 2 ab->Erfasse Rechnung;34
Lehne Genehmigung Level 2 ab;34
Erfasse Rechnung->End;34
Erfasse Rechnung;34
Start->Lege Bestellposition an;165
Lege Bestellposition an->Fordere Genehmigung Level 1 an;165
Lege Bestellposition an;165
Fordere Genehmigung Level 1 an->Lehne Genehmigung Level 2 ab;165
Fordere Genehmigung Level 1 an;165
Lehne Genehmigung Level 2 ab->Ändere Bestellposition: Material;165
Lehne Genehmigung Level 2 ab;165
Ändere Bestellposition: Material->Erfasse Rechnung;165
Ändere Bestellposition: Material;165
Erfasse Rechnung->End;165
Erfasse Rechnung;165
Start->Lege Bestellposition an;89
Lege Bestellposition an->Erteile Genehmigung Level 1;89
Lege Bestellposition an;89
Erteile Genehmigung Level 1->Erteile Genehmigung Level 2;89
Erteile Genehmigung Level 1;89
Erteile Genehmigung Level 2->Erteile Genehmigung Level 3;89
Erteile Genehmigung Level 2;89
Erteile Genehmigung Level 3->Erfasse Rechnung;89
Erteile Genehmigung Level 3;89
Erfasse Rechnung->End;89
Erfasse Rechnung;89
Start->Lege Bestellposition an;496
Lege Bestellposition an->Erteile Genehmigung Level 1;496
Lege Bestellposition an;496
Erteile Genehmigung Level 1->Erteile Genehmigung Level 2;496
Erteile Genehmigung Level 1;496
Erteile Genehmigung Level 2->Erteile Genehmigung Level 3;496
Erteile Genehmigung Level 2;496
Erteile Genehmigung Level 3->Ändere Bestellposition: Preis;496
Erteile Genehmigung Level 3;496
Ändere Bestellposition: Preis->Erfasse Rechnung;496
Ändere Bestellposition: Preis;496
Erfasse Rechnung->End;496
Erfasse Rechnung;496
Start->Lege Bestellposition an;0
Lege Bestellposition an->Fordere Genehmigung Level 1 an;0
Lege Bestellposition an;0
Fordere Genehmigung Level 1 an->End;0
Fordere Genehmigung Level 1 an;0
Start->Lege Bestellposition an;22
Lege Bestellposition an->Erteile Genehmigung Level 1;22
Lege Bestellposition an;22
Erteile Genehmigung Level 1->Erfasse Rechnung;22
Erteile Genehmigung Level 1;22
Erfasse Rechnung->End;22
Erfasse Rechnung;22
Start->Lege Bestellposition an;25
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;25
Lege Bestellposition an;25
Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Material;25
Lehne Genehmigung Level 1 ab;25
Ändere Bestellposition: Material->End;25
Ändere Bestellposition: Material;25
Start->Lege Bestellposition an;1
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;1
Lege Bestellposition an;1
Lehne Genehmigung Level 1 ab->End;1
Lehne Genehmigung Level 1 ab;1
Start->Lege Bestellposition an;166
Lege Bestellposition an->Ändere Bestellposition: Menge;166
Lege Bestellposition an;166
Ändere Bestellposition: Menge->Lehne Genehmigung Level 1 ab;166
Ändere Bestellposition: Menge;166
Lehne Genehmigung Level 1 ab->End;166
Lehne Genehmigung Level 1 ab;166
Start->Lege Bestellposition an;40
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;40
Lege Bestellposition an;40
Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Preis;40
Lehne Genehmigung Level 1 ab;40
Ändere Bestellposition: Preis->End;40
Ändere Bestellposition: Preis;40
Start->Lehne Genehmigung Level 3 ab;167
Lehne Genehmigung Level 3 ab->Erteile Genehmigung Level 2;167
Lehne Genehmigung Level 3 ab;167
Erteile Genehmigung Level 2->Erteile Genehmigung Level 1;167
Erteile Genehmigung Level 2;167
Erteile Genehmigung Level 1->Lege Bestellposition an;167
Erteile Genehmigung Level 1;167
Lege Bestellposition an->Ändere Bestellung: Währung;167
Lege Bestellposition an;167
Ändere Bestellung: Währung->Erfasse Rechnung;167
Ändere Bestellung: Währung;167
Erfasse Rechnung->End;167
Erfasse Rechnung;167
Start->Erteile Genehmigung Level 1;276
Erteile Genehmigung Level 1->Lege Bestellposition an;276
Erteile Genehmigung Level 1;276
Lege Bestellposition an->Fordere Genehmigung Level 2 an;276
Lege Bestellposition an;276
Fordere Genehmigung Level 2 an->Erfasse Rechnung;276
Fordere Genehmigung Level 2 an;276
Erfasse Rechnung->Gleiche Rechnung aus;276
Erfasse Rechnung;276
Gleiche Rechnung aus->End;276
Gleiche Rechnung aus;276
Start->Lege Bestellposition an;168
Lege Bestellposition an->Ändere Bestellung: Lieferant;168
Lege Bestellposition an;168
Ändere Bestellung: Lieferant->Erteile Genehmigung Level 1;168
Ändere Bestellung: Lieferant;168
Erteile Genehmigung Level 1->Erfasse Rechnung;168
Erteile Genehmigung Level 1;168
Erfasse Rechnung->End;168
Erfasse Rechnung;168
Start->Lege Bestellposition an;73
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;73
Lege Bestellposition an;73
Lehne Genehmigung Level 1 ab->Fordere Genehmigung Level 2 an;73
Lehne Genehmigung Level 1 ab;73
Fordere Genehmigung Level 2 an->Lehne Genehmigung Level 3 ab;73
Fordere Genehmigung Level 2 an;73
Lehne Genehmigung Level 3 ab->End;73
Lehne Genehmigung Level 3 ab;73
Start->Lehne Genehmigung Level 2 ab;60
Lehne Genehmigung Level 2 ab->Lege Bestellposition an;60
Lehne Genehmigung Level 2 ab;60
Lege Bestellposition an->Erteile Genehmigung Level 1;60
Lege Bestellposition an;60
Erteile Genehmigung Level 1->End;60
Erteile Genehmigung Level 1;60
Start->Lehne Genehmigung Level 2 ab;497
Lehne Genehmigung Level 2 ab->Lege Bestellposition an;497
Lehne Genehmigung Level 2 ab;497
Lege Bestellposition an->Erteile Genehmigung Level 1;497
Lege Bestellposition an;497
Erteile Genehmigung Level 1->Ändere Bestellposition: Preis;497
Erteile Genehmigung Level 1;497
Ändere Bestellposition: Preis->End;497
Ändere Bestellposition: Preis;497
Start->Lege Bestellposition an;498
Lege Bestellposition an->Fordere Genehmigung Level 1 an;498
Lege Bestellposition an;498
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;498
Fordere Genehmigung Level 1 an;498
Erteile Genehmigung Level 2->Fordere Genehmigung Level 3 an;498
Erteile Genehmigung Level 2;498
Fordere Genehmigung Level 3 an->Erfasse Rechnung;498
Fordere Genehmigung Level 3 an;498
Erfasse Rechnung->End;498
Erfasse Rechnung;498
Start->Lege Bestellposition an;499
Lege Bestellposition an->Fordere Genehmigung Level 1 an;499
Lege Bestellposition an;499
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;499
Fordere Genehmigung Level 1 an;499
Erteile Genehmigung Level 2->Fordere Genehmigung Level 3 an;499
Erteile Genehmigung Level 2;499
Fordere Genehmigung Level 3 an->Ändere Bestellposition: Menge;499
Fordere Genehmigung Level 3 an;499
Ändere Bestellposition: Menge->Erfasse Rechnung;499
Ändere Bestellposition: Menge;499
Erfasse Rechnung->End;499
Erfasse Rechnung;499
Start->Lege Bestellposition an;116
Lege Bestellposition an->Erteile Genehmigung Level 1;116
Lege Bestellposition an;116
Erteile Genehmigung Level 1->Fordere Genehmigung Level 3 an;116
Erteile Genehmigung Level 1;116
Fordere Genehmigung Level 3 an->Fordere Genehmigung Level 2 an;116
Fordere Genehmigung Level 3 an;116
Fordere Genehmigung Level 2 an->End;116
Fordere Genehmigung Level 2 an;116
Start->Lege Bestellposition an;500
Lege Bestellposition an->Erteile Genehmigung Level 1;500
Lege Bestellposition an;500
Erteile Genehmigung Level 1->Ändere Bestellung: Währung;500
Erteile Genehmigung Level 1;500
Ändere Bestellung: Währung->Ändere Bestellposition: Material;500
Ändere Bestellung: Währung;500
Ändere Bestellposition: Material->End;500
Ändere Bestellposition: Material;500
Start->Lege Bestellposition an;55
Lege Bestellposition an->Erteile Genehmigung Level 1;55
Lege Bestellposition an;55
Erteile Genehmigung Level 1->Ändere Bestellung: Währung;55
Erteile Genehmigung Level 1;55
Ändere Bestellung: Währung->End;55
Ändere Bestellung: Währung;55
Start->Lege Bestellposition an;169
Lege Bestellposition an->Erteile Genehmigung Level 1;169
Lege Bestellposition an;169
Erteile Genehmigung Level 1->Ändere Bestellung: Währung;169
Erteile Genehmigung Level 1;169
Ändere Bestellung: Währung->Ändere Bestellposition: Preis;169
Ändere Bestellung: Währung;169
Ändere Bestellposition: Preis->End;169
Ändere Bestellposition: Preis;169
Start->Lege Bestellposition an;501
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;501
Lege Bestellposition an;501
Lehne Genehmigung Level 1 ab->Erteile Genehmigung Level 2;501
Lehne Genehmigung Level 1 ab;501
Erteile Genehmigung Level 2->Ändere Bestellung: Währung;501
Erteile Genehmigung Level 2;501
Ändere Bestellung: Währung->Lehne Wareneingang ab;501
Ändere Bestellung: Währung;501
Lehne Wareneingang ab->Lehne Genehmigung Level 3 ab;501
Lehne Wareneingang ab;501
Lehne Genehmigung Level 3 ab->Erfasse Rechnung;501
Lehne Genehmigung Level 3 ab;501
Erfasse Rechnung->End;501
Erfasse Rechnung;501
Start->Lege Bestellposition an;502
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;502
Lege Bestellposition an;502
Lehne Genehmigung Level 1 ab->Erteile Genehmigung Level 2;502
Lehne Genehmigung Level 1 ab;502
Erteile Genehmigung Level 2->Ändere Bestellung: Währung;502
Erteile Genehmigung Level 2;502
Ändere Bestellung: Währung->Ändere Bestellposition: Material;502
Ändere Bestellung: Währung;502
Ändere Bestellposition: Material->Lehne Genehmigung Level 3 ab;502
Ändere Bestellposition: Material;502
Lehne Genehmigung Level 3 ab->Lehne Wareneingang ab;502
Lehne Genehmigung Level 3 ab;502
Lehne Wareneingang ab->Erfasse Rechnung;502
Lehne Wareneingang ab;502
Erfasse Rechnung->End;502
Erfasse Rechnung;502
Start->Lege Bestellposition an;503
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;503
Lege Bestellposition an;503
Lehne Genehmigung Level 1 ab->Erteile Genehmigung Level 2;503
Lehne Genehmigung Level 1 ab;503
Erteile Genehmigung Level 2->Ändere Bestellung: Währung;503
Erteile Genehmigung Level 2;503
Ändere Bestellung: Währung->Lehne Genehmigung Level 3 ab;503
Ändere Bestellung: Währung;503
Lehne Genehmigung Level 3 ab->Ändere Bestellposition: Preis;503
Lehne Genehmigung Level 3 ab;503
Ändere Bestellposition: Preis->Erfasse Wareneingang;503
Ändere Bestellposition: Preis;503
Erfasse Wareneingang->Erfasse Rechnung;503
Erfasse Wareneingang;503
Erfasse Rechnung->End;503
Erfasse Rechnung;503
Start->Lehne Genehmigung Level 3 ab;504
Lehne Genehmigung Level 3 ab->Lege Bestellposition an;504
Lehne Genehmigung Level 3 ab;504
Lege Bestellposition an->Erteile Genehmigung Level 2;504
Lege Bestellposition an;504
Erteile Genehmigung Level 2->Lehne Genehmigung Level 1 ab;504
Erteile Genehmigung Level 2;504
Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Menge;504
Lehne Genehmigung Level 1 ab;504
Ändere Bestellposition: Menge->Ändere Bestellung: Währung;504
Ändere Bestellposition: Menge;504
Ändere Bestellung: Währung->End;504
Ändere Bestellung: Währung;504
Start->Lehne Genehmigung Level 3 ab;505
Lehne Genehmigung Level 3 ab->Lege Bestellposition an;505
Lehne Genehmigung Level 3 ab;505
Lege Bestellposition an->Erteile Genehmigung Level 2;505
Lege Bestellposition an;505
Erteile Genehmigung Level 2->Lehne Genehmigung Level 1 ab;505
Erteile Genehmigung Level 2;505
Lehne Genehmigung Level 1 ab->Ändere Bestellung: Währung;505
Lehne Genehmigung Level 1 ab;505
Ändere Bestellung: Währung->Ändere Bestellposition: Preis;505
Ändere Bestellung: Währung;505
Ändere Bestellposition: Preis->End;505
Ändere Bestellposition: Preis;505
Start->Lehne Genehmigung Level 3 ab;506
Lehne Genehmigung Level 3 ab->Lege Bestellposition an;506
Lehne Genehmigung Level 3 ab;506
Lege Bestellposition an->Erteile Genehmigung Level 2;506
Lege Bestellposition an;506
Erteile Genehmigung Level 2->Lehne Genehmigung Level 1 ab;506
Erteile Genehmigung Level 2;506
Lehne Genehmigung Level 1 ab->Ändere Bestellung: Währung;506
Lehne Genehmigung Level 1 ab;506
Ändere Bestellung: Währung->End;506
Ändere Bestellung: Währung;506
Start->Lege Bestellposition an;170
Lege Bestellposition an->Erteile Genehmigung Level 2;170
Lege Bestellposition an;170
Erteile Genehmigung Level 2->Erteile Genehmigung Level 1;170
Erteile Genehmigung Level 2;170
Erteile Genehmigung Level 1->End;170
Erteile Genehmigung Level 1;170
Start->Lege Bestellposition an;277
Lege Bestellposition an->Erteile Genehmigung Level 2;277
Lege Bestellposition an;277
Erteile Genehmigung Level 2->Erteile Genehmigung Level 1;277
Erteile Genehmigung Level 2;277
Erteile Genehmigung Level 1->Ändere Bestellposition: Preis;277
Erteile Genehmigung Level 1;277
Ändere Bestellposition: Preis->End;277
Ändere Bestellposition: Preis;277
Start->Lege Bestellposition an;278
Lege Bestellposition an->Erteile Genehmigung Level 2;278
Lege Bestellposition an;278
Erteile Genehmigung Level 2->Erteile Genehmigung Level 1;278
Erteile Genehmigung Level 2;278
Erteile Genehmigung Level 1->Ändere Bestellposition: Material;278
Erteile Genehmigung Level 1;278
Ändere Bestellposition: Material->End;278
Ändere Bestellposition: Material;278
Start->Lege Bestellposition an;507
Lege Bestellposition an->Fordere Genehmigung Level 1 an;507
Lege Bestellposition an;507
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;507
Fordere Genehmigung Level 1 an;507
Erteile Genehmigung Level 2->Ändere Bestellung: Währung;507
Erteile Genehmigung Level 2;507
Ändere Bestellung: Währung->Lehne Genehmigung Level 3 ab;507
Ändere Bestellung: Währung;507
Lehne Genehmigung Level 3 ab->End;507
Lehne Genehmigung Level 3 ab;507
Start->Lege Bestellposition an;279
Lege Bestellposition an->Erteile Genehmigung Level 1;279
Lege Bestellposition an;279
Erteile Genehmigung Level 1->Lehne Genehmigung Level 2 ab;279
Erteile Genehmigung Level 1;279
Lehne Genehmigung Level 2 ab->Fordere Genehmigung Level 3 an;279
Lehne Genehmigung Level 2 ab;279
Fordere Genehmigung Level 3 an->Ändere Bestellposition: Material;279
Fordere Genehmigung Level 3 an;279
Ändere Bestellposition: Material->End;279
Ändere Bestellposition: Material;279
Start->Lege Bestellposition an;61
Lege Bestellposition an->Erteile Genehmigung Level 1;61
Lege Bestellposition an;61
Erteile Genehmigung Level 1->Lehne Genehmigung Level 2 ab;61
Erteile Genehmigung Level 1;61
Lehne Genehmigung Level 2 ab->Fordere Genehmigung Level 3 an;61
Lehne Genehmigung Level 2 ab;61
Fordere Genehmigung Level 3 an->End;61
Fordere Genehmigung Level 3 an;61
Start->Lege Bestellposition an;508
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;508
Lege Bestellposition an;508
Lehne Genehmigung Level 1 ab->Ändere Bestellung: Lieferant;508
Lehne Genehmigung Level 1 ab;508
Ändere Bestellung: Lieferant->Ändere Bestellposition: Preis;508
Ändere Bestellung: Lieferant;508
Ändere Bestellposition: Preis->Erfasse Rechnung;508
Ändere Bestellposition: Preis;508
Erfasse Rechnung->End;508
Erfasse Rechnung;508
Start->Lege Bestellposition an;74
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;74
Lege Bestellposition an;74
Lehne Genehmigung Level 1 ab->Ändere Bestellung: Lieferant;74
Lehne Genehmigung Level 1 ab;74
Ändere Bestellung: Lieferant->Erfasse Rechnung;74
Ändere Bestellung: Lieferant;74
Erfasse Rechnung->End;74
Erfasse Rechnung;74
Start->Lege Bestellposition an;509
Lege Bestellposition an->Fordere Genehmigung Level 1 an;509
Lege Bestellposition an;509
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;509
Fordere Genehmigung Level 1 an;509
Erteile Genehmigung Level 2->Ändere Bestellposition: Menge;509
Erteile Genehmigung Level 2;509
Ändere Bestellposition: Menge->Erteile Genehmigung Level 3;509
Ändere Bestellposition: Menge;509
Erteile Genehmigung Level 3->Erfasse Rechnung;509
Erteile Genehmigung Level 3;509
Erfasse Rechnung->End;509
Erfasse Rechnung;509
Start->Lege Bestellposition an;75
Lege Bestellposition an->Fordere Genehmigung Level 1 an;75
Lege Bestellposition an;75
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;75
Fordere Genehmigung Level 1 an;75
Erteile Genehmigung Level 2->Erteile Genehmigung Level 3;75
Erteile Genehmigung Level 2;75
Erteile Genehmigung Level 3->Erfasse Rechnung;75
Erteile Genehmigung Level 3;75
Erfasse Rechnung->End;75
Erfasse Rechnung;75
Start->Lege Bestellposition an;35
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;35
Lege Bestellposition an;35
Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Menge;35
Lehne Genehmigung Level 1 ab;35
Ändere Bestellposition: Menge->End;35
Ändere Bestellposition: Menge;35
Start->Erteile Genehmigung Level 1;280
Erteile Genehmigung Level 1->Lege Bestellposition an;280
Erteile Genehmigung Level 1;280
Lege Bestellposition an->Lehne Genehmigung Level 2 ab;280
Lege Bestellposition an;280
Lehne Genehmigung Level 2 ab->Erteile Genehmigung Level 3;280
Lehne Genehmigung Level 2 ab;280
Erteile Genehmigung Level 3->Lehne Wareneingang ab;280
Erteile Genehmigung Level 3;280
Lehne Wareneingang ab->Erfasse Rechnung;280
Lehne Wareneingang ab;280
Erfasse Rechnung->End;280
Erfasse Rechnung;280
Start->Lege Bestellposition an;46
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;46
Lege Bestellposition an;46
Lehne Genehmigung Level 1 ab->Erteile Genehmigung Level 2;46
Lehne Genehmigung Level 1 ab;46
Erteile Genehmigung Level 2->Erteile Genehmigung Level 3;46
Erteile Genehmigung Level 2;46
Erteile Genehmigung Level 3->End;46
Erteile Genehmigung Level 3;46
Start->Lege Bestellposition an;171
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;171
Lege Bestellposition an;171
Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Material;171
Lehne Genehmigung Level 1 ab;171
Ändere Bestellposition: Material->Erfasse Rechnung;171
Ändere Bestellposition: Material;171
Erfasse Rechnung->End;171
Erfasse Rechnung;171
Start->Lege Bestellposition an;62
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;62
Lege Bestellposition an;62
Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Preis;62
Lehne Genehmigung Level 1 ab;62
Ändere Bestellposition: Preis->Erfasse Rechnung;62
Ändere Bestellposition: Preis;62
Erfasse Rechnung->End;62
Erfasse Rechnung;62
Start->Lege Bestellposition an;10
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;10
Lege Bestellposition an;10
Lehne Genehmigung Level 1 ab->Erfasse Rechnung;10
Lehne Genehmigung Level 1 ab;10
Erfasse Rechnung->End;10
Erfasse Rechnung;10
Start->Lehne Genehmigung Level 2 ab;510
Lehne Genehmigung Level 2 ab->Lege Bestellposition an;510
Lehne Genehmigung Level 2 ab;510
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;510
Lege Bestellposition an;510
Lehne Genehmigung Level 1 ab->Erteile Genehmigung Level 3;510
Lehne Genehmigung Level 1 ab;510
Erteile Genehmigung Level 3->Ändere Bestellung: Währung;510
Erteile Genehmigung Level 3;510
Ändere Bestellung: Währung->End;510
Ändere Bestellung: Währung;510
Start->Lege Bestellposition an;281
Lege Bestellposition an->Fordere Genehmigung Level 1 an;281
Lege Bestellposition an;281
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;281
Fordere Genehmigung Level 1 an;281
Erteile Genehmigung Level 2->Ändere Bestellposition: Material;281
Erteile Genehmigung Level 2;281
Ändere Bestellposition: Material->End;281
Ändere Bestellposition: Material;281
Start->Lege Bestellposition an;172
Lege Bestellposition an->Lehne Genehmigung Level 2 ab;172
Lege Bestellposition an;172
Lehne Genehmigung Level 2 ab->Erteile Genehmigung Level 1;172
Lehne Genehmigung Level 2 ab;172
Erteile Genehmigung Level 1->Lehne Genehmigung Level 3 ab;172
Erteile Genehmigung Level 1;172
Lehne Genehmigung Level 3 ab->Erfasse Rechnung;172
Lehne Genehmigung Level 3 ab;172
Erfasse Rechnung->End;172
Erfasse Rechnung;172
Start->Lege Bestellposition an;511
Lege Bestellposition an->Lehne Genehmigung Level 2 ab;511
Lege Bestellposition an;511
Lehne Genehmigung Level 2 ab->Erteile Genehmigung Level 1;511
Lehne Genehmigung Level 2 ab;511
Erteile Genehmigung Level 1->Lehne Genehmigung Level 3 ab;511
Erteile Genehmigung Level 1;511
Lehne Genehmigung Level 3 ab->Ändere Bestellposition: Preis;511
Lehne Genehmigung Level 3 ab;511
Ändere Bestellposition: Preis->Erfasse Rechnung;511
Ändere Bestellposition: Preis;511
Erfasse Rechnung->End;511
Erfasse Rechnung;511
Start->Fordere Genehmigung Level 2 an;282
Fordere Genehmigung Level 2 an->Lege Bestellposition an;282
Fordere Genehmigung Level 2 an;282
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;282
Lege Bestellposition an;282
Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Menge;282
Lehne Genehmigung Level 1 ab;282
Ändere Bestellposition: Menge->End;282
Ändere Bestellposition: Menge;282
Start->Fordere Genehmigung Level 2 an;512
